City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Ballina,AU,85.01,broken clouds,-28.8667,153.5667,Ballina Beach Resort
134,Airai,TL,76.62,overcast clouds,-8.9266,125.4092,No hotel found
135,Carnarvon,AU,76.23,clear sky,-24.8667,113.6333,No hotel found
138,Cabo San Lucas,MX,72.52,overcast clouds,22.8909,-109.9124,Comfort Rooms
140,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
148,Sorong,ID,83.07,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
150,Kahului,US,77.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
151,Iquique,CL,71.64,few clouds,-20.2208,-70.1431,Hostal Vivar
152,Atuona,PF,77.94,scattered clouds,-9.8,-139.0333,Pearl Resort
154,Koumac,NC,81.99,scattered clouds,-20.5667,164.2833,Monitel Koumac
158,Rantepao,ID,70.54,overcast clouds,-2.9701,119.8978,Hotel Indra Toraja
164,Ponta Do Sol,PT,70.72,light rain,32.6667,-17.1,Estalagem Ponta do Sol
166,Lalmohan,BD,70.02,clear sky,22.3384,90.7419,No hotel found
171,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,No hotel found
173,Majalgaon,IN,71.26,broken clouds,19.15,76.2333,No hotel found
177,Lorengau,PG,85.21,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
178,Sao Desiderio,BR,72.05,overcast clouds,-12.3633,-44.9733,No hotel found
180,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Cape Garden
183,Inirida,CO,72.16,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
185,Taoudenni,ML,76.01,clear sky,22.6783,-3.9836,No hotel found
192,Anloga,GH,80.4,overcast clouds,5.7947,0.8973,Hotel de White House
193,Sambava,MG,72.75,clear sky,-14.2667,50.1667,Royal Sava Hôtel
194,East London,ZA,70.81,broken clouds,-33.0153,27.9116,No hotel found
196,Chiredzi,ZW,71.01,scattered clouds,-21.05,31.6667,Nesbitt Arms Hotel
199,Bontang,ID,76.66,light rain,0.1333,117.5,Hotel Sederhana
203,Nador,MA,73.47,clear sky,35.174,-2.9287,Hotel Lixus
204,Micheweni,TZ,78.39,light rain,-4.9667,39.8333,No hotel found
206,Isangel,VU,82.53,clear sky,-19.55,169.2667,Tanna Lodge
207,San Patricio,US,75.29,overcast clouds,28.017,-97.5169,No hotel found
210,Camana,PE,71.28,overcast clouds,-16.6228,-72.7111,Caja Arequipa
219,Salinopolis,BR,78.76,scattered clouds,-0.6136,-47.3561,Hotel Salinópolis
220,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,No hotel found
222,Port Blair,IN,82.44,broken clouds,11.6667,92.75,Andaman Ocean Breeze
226,Candelaria,PH,82.38,overcast clouds,13.9311,121.4233,Grand Central Hotel and Spa
227,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel El Patio
230,Chabahar,IR,70.45,clear sky,25.2919,60.643,هتل سپیده
231,Gwadar,PK,70.83,clear sky,25.1216,62.3254,Sadaf Resorts
232,Bengkulu,ID,76.35,overcast clouds,-3.8004,102.2655,Dena Hotel
236,Kuala Terengganu,MY,82.98,scattered clouds,5.3302,103.1408,Uncle Homestay
241,Kavieng,PG,83.25,overcast clouds,-2.5744,150.7967,Kavieng Hotel
245,Madang,PG,86.09,overcast clouds,-5.2246,145.7966,Madang Star International
249,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
250,Tumpat,MY,82.38,few clouds,6.1978,102.171,No hotel found
251,Lumphat,KH,74.97,scattered clouds,13.4878,106.9816,No hotel found
